Designator,Mid X,Mid Y,Rotation,Layer
BT1,122.77525,-88.627,180.0,top
C1,97.8985,-77.497,270.0,bottom
C10,56.4085,-69.847,0.0,top
C11,130.7835,-89.8845,270.0,bottom
C12,121.3085,-89.8845,90.0,bottom
C13,56.4085,-72.097,0.0,top
C14,56.4085,-74.347,0.0,top
C15,56.4085,-76.597,0.0,top
C16,56.4085,-78.847,0.0,top
C17,56.4085,-81.097,0.0,top
C18,56.4085,-83.347,0.0,top
C19,56.4085,-85.597,0.0,top
C2,97.7735,-68.752,0.0,bottom
C20,123.5285,-92.142,180.0,bottom
C21,109.239,-72.483,0.0,bottom
C24,96.139,-91.038,180.0,bottom
C25,143.7185,-69.3395,90.0,bottom
C26,137.4985,-71.7245,180.0,bottom
C27,134.7585,-74.8245,90.0,bottom
C28,141.6185,-70.1195,180.0,bottom
C29,137.5085,-77.887,0.0,bottom
C3,96.9935,-66.617,270.0,bottom
C30,56.4085,-89.847,0.0,top
C31,138.2685,-80.1645,270.0,bottom
C32,140.3035,-82.2245,0.0,bottom
C33,143.1385,-82.2145,180.0,bottom
C34,145.2485,-82.9795,270.0,bottom
C35,146.5485,-82.9795,270.0,bottom
C36,145.7735,-87.9445,0.0,bottom
C37,145.1185,-80.5445,180.0,bottom
C38,148.0685,-80.5445,0.0,bottom
C39,148.071,-79.2545,180.0,bottom
C4,65.8085,-69.847,0.0,top
C40,151.55634,-95.14767,90.0,bottom
C41,145.35634,-95.14767,90.0,bottom
C42,149.15634,-98.70367,270.0,bottom
C43,149.91834,-100.98967,0.0,bottom
C44,149.91834,-105.56167,0.0,bottom
C5,104.779,-67.978,90.0,bottom
C6,65.8085,-72.097,0.0,top
C63,65.8085,-74.347,0.0,top
C64,65.8085,-76.597,0.0,top
C65,97.1985,-79.897,0.0,bottom
C66,109.2805,-80.021,270.0,bottom
C67,65.8085,-78.847,0.0,top
C68,65.8085,-81.097,0.0,top
C69,87.169,-96.333,0.0,bottom
C7,115.9985,-85.727,0.0,bottom
C8,116.1385,-79.832,0.0,bottom
C9,117.0635,-87.727,180.0,bottom
IC1,122.6335,-98.732,0.0,bottom
J1,123.2085,-58.347,270.0,top
J2,155.4185,-97.0045,180.0,bottom
J4,69.0585,-89.847,180.0,top
L1,101.5285,-70.932,0.0,bottom
L15,143.1385,-83.5345,180.0,bottom
L17,146.5485,-85.8145,270.0,bottom
L18,145.1285,-79.2545,0.0,bottom
L19,149.15634,-103.27567,270.0,bottom
L2,141.6185,-68.5295,180.0,bottom
L3,139.6485,-80.1745,270.0,bottom
L4,141.074,-80.176,270.0,bottom
L6,101.539,-74.773,180.0,bottom
R1,60.1085,-69.797,0.0,top
R10,146.85634,-95.14767,90.0,bottom
R11,60.1085,-74.097,0.0,top
R12,60.1085,-76.247,0.0,top
R13,60.1085,-78.397,0.0,top
R14,60.1085,-80.547,0.0,top
R15,125.1485,-105.8045,180.0,bottom
R2,60.1085,-71.947,0.0,top
R29,105.629,-82.513,0.0,bottom
R3,98.5435,-66.617,90.0,bottom
R30,101.169,-82.503,180.0,bottom
R31,101.1785,-84.063,0.0,bottom
R4,106.439,-76.773,90.0,bottom
R5,107.839,-76.773,90.0,bottom
R6,108.499,-82.513,0.0,bottom
R7,94.7085,-77.487,270.0,bottom
R8,69.5085,-69.847,0.0,top
R9,153.05634,-95.14767,270.0,bottom
U1,101.539,-79.573,180.0,bottom
U10,149.15634,-108.86367,90.0,bottom
U2,101.5235,-67.352,90.0,bottom
U3,125.0585,-81.987,90.0,bottom
U5,97.214,-96.713,90.0,bottom
U8,142.3685,-74.5745,270.0,bottom
U9,149.15634,-95.14767,90.0,bottom
Y2,118.4385,-89.827,0.0,bottom
Y3,137.5085,-74.822,270.0,bottom
YE1,116.0685,-82.747,90.0,bottom
