Designator,Mid X,Mid Y,Rotation,Layer
BT1,134.51175,-106.1125,180.0,top
C1,111.105,-96.18,90.0,bottom
C10,148.585,-97.775,270.0,bottom
C11,150.005,-97.775,270.0,bottom
C12,158.0675,-97.1175,0.0,bottom
C13,152.04,-99.835,0.0,bottom
C14,132.945,-107.45,270.0,bottom
C15,155.115,-98.4075,180.0,bottom
C16,167.45,-86.235,180.0,bottom
C17,154.875,-99.825,180.0,bottom
C18,162.05,-110.1875,0.0,bottom
C19,157.205,-103.3975,270.0,bottom
C2,113.24,-95.4,0.0,bottom
C20,157.205,-100.4875,90.0,bottom
C21,159.19,-110.1875,0.0,bottom
C22,134.455,-107.45,90.0,bottom
C23,142.275,-107.5075,270.0,bottom
C24,127.765,-94.3985,0.0,bottom
C25,139.825,-91.0975,90.0,bottom
C26,140.845,-107.495,270.0,bottom
C27,127.765,-95.8975,0.0,bottom
C28,160.26,-86.295,180.0,bottom
C29,127.635,-103.3425,0.0,bottom
C3,112.63,-104.22,270.0,bottom
C30,127.775,-97.4475,0.0,bottom
C31,128.7,-105.3175,180.0,bottom
C32,131.45,-105.3175,180.0,bottom
C33,158.28234,-112.75483,90.0,bottom
C34,162.915,-112.7595,90.0,bottom
C35,160.615,-116.3075,270.0,bottom
C36,159.85234,-118.60483,180.0,bottom
C37,159.853,-123.1235,180.0,bottom
C38,135.265,-109.7525,180.0,bottom
C4,111.1,-104.22,270.0,bottom
C5,146.495,-92.435,90.0,bottom
C6,149.235,-89.335,180.0,bottom
C7,153.355,-86.14,180.0,bottom
C8,155.455,-86.95,90.0,bottom
C9,149.245,-95.4975,0.0,bottom
IC1,134.37,-116.3425,0.0,bottom
J4,169.825,-75.9975,270.0,bottom
J5,134.945,-75.9575,270.0,top
L1,108.925,-99.935,180.0,bottom
L2,153.355,-87.73,180.0,bottom
L3,152.8105,-97.7865,270.0,bottom
L4,155.125,-97.1175,0.0,bottom
L5,151.385,-97.785,270.0,bottom
L6,154.875,-101.145,180.0,bottom
L7,158.665,-100.4875,270.0,bottom
L8,160.615,-120.8875,270.0,bottom
NFC_WAKE1,168.975,-83.4,0.0,bottom
R1,113.24,-96.95,180.0,bottom
R14,170.23,-86.235,0.0,bottom
R17,163.04,-86.285,0.0,bottom
R18,135.935,-107.445,270.0,bottom
R19,136.695,-91.0475,270.0,bottom
R2,156.905,-112.785,270.0,bottom
R20,140.765,-116.345,90.0,bottom
R21,142.295,-116.355,90.0,bottom
R3,164.195,-112.775,270.0,bottom
R4,136.885,-123.415,180.0,bottom
R5,106.445,-96.755,270.0,bottom
R6,106.445,-99.9375,270.0,bottom
R7,146.485,-95.7925,90.0,bottom
SW2,161.7825,-83.4,0.0,bottom
U1,112.505,-99.93,180.0,bottom
U2,154.105,-92.185,270.0,bottom
U3,160.615,-112.7595,90.0,bottom
U4,160.585,-126.4755,90.0,bottom
U9,136.695,-99.6025,90.0,bottom
Y1,127.705,-100.3625,90.0,bottom
Y2,130.075,-107.4425,0.0,bottom
Y3,149.245,-92.4325,270.0,bottom
